Time 	Distance	 Laps	 µ	FrictionForce
46,801	1,16973507404327	61,62500	0,48297	1,44891
46,901	1,17210781574249	61,75000	0,45080	1,35239
47,001	1,17448043823242	61,87500	0,44587	1,33760
47,101	1,17685317993164	62,00000	0,50979	1,52938
47,201	1,17922592163086	62,12500	0,53168	1,59503
47,301	1,18159854412079	62,25000	0,56213	1,68639
47,401	1,18397116661072	62,37500	0,46251	1,38754
47,501	1,18634390830994	62,50000	0,51595	1,54784
47,601	1,18871665000916	62,62500	0,47175	1,41526
47,701	1,19108927249908	62,75000	0,44486	1,33459
47,801	1,19346189498901	62,87500	0,46712	1,40135
47,901	1,19583463668823	63,00000	0,50694	1,52081
48,001	1,19854629039764	63,14286	0,54746	1,64238
48,101	1,20125794410706	63,28571	0,49508	1,48524
48,201	1,20396959781647	63,42857	0,49612	1,48837
48,301	1,20668125152588	63,57143	0,48433	1,45298
48,401	1,20939290523529	63,71429	0,45683	1,37050
48,501	1,2121045589447	63,85714	0,44329	1,32987
48,601	1,21481621265411	64,00000	0,49778	1,49335
48,701	1,21718883514404	64,12500	0,52082	1,56246
48,801	1,21956157684326	64,25000	0,53238	1,59713
48,901	1,22193431854248	64,37500	0,44974	1,34921
49,001	1,22430694103241	64,50000	0,51529	1,54586
49,101	1,22667956352234	64,62500	0,46660	1,39981
49,201	1,22905230522156	64,75000	0,44850	1,34549
49,301	1,23142504692078	64,87500	0,45463	1,36390
49,401	1,23379766941071	65,00000	0,50594	1,51782
49,501	1,23650932312012	65,14285	0,52052	1,56157
49,601	1,23922097682953	65,28571	0,50310	1,50931
49,701	1,24193263053894	65,42857	0,45830	1,37490
49,801	1,24464416503906	65,57143	0,48944	1,46833
49,901	1,24735581874847	65,71429	0,46418	1,39255
50,001	1,25006747245789	65,85714	0,44681	1,34042
50,101	1,2527791261673	66,00000	0,48802	1,46406
50,201	1,25515186786652	66,12500	0,50859	1,52578
50,301	1,25752449035645	66,25000	0,51487	1,54461
50,401	1,25989723205566	66,37500	0,45324	1,35971
50,501	1,26226997375488	66,50000	0,49785	1,49354
50,601	1,26464259624481	66,62500	0,46758	1,40274
50,701	1,26701533794403	66,75000	0,45377	1,36132
50,801	1,26938796043396	66,87500	0,45047	1,35141
50,901	1,27176070213318	67,00000	0,50053	1,50160
51,001	1,2741334438324	67,12500	0,50480	1,51441
51,101	1,27650606632233	67,25000	0,49965	1,49895
